contestant,season_name,season_number,original_tribe,original_tribe_color
55,Terry Deitz,,,
31,"Yung ""Woo"" Hwang",,,
42,"Kassandra ""Kass"" McQuillen",,,
51,Andrew Savage,,,
37,Kelly Wiglesworth,,,
26,Ciera Eastin,,,
36,Stephen Fishbach,,,
25,Joe Anglim,,,
35,Abi-Maria Gomes,,,
42,Kimmi Kappenberg,,,
54,Keith Nale,,,
29,Kelley Wentworth,,,
22,Spencer Bledsoe,,,
39,"Latasha ""Tasha"" Fox",,,
37,Jeremy Collins,,,
Darnell Hamilton,Survivor: Kaôh Rōng,,,
38,Jennifer Lanzetti,,,
27,"Elisabeth ""Liz"" Markham",,,
28,Caleb Reynolds,,,
24,Alecia Holden,,,
26,Anna Khait,,,
34,Peter Baggenstos,,,
38,Neal Gottlieb,,,
30,Nick Maiorano,,,
49,Debbie Wanner,,,
40,Scot Pollard,,,
19,Julia Sokolowski,,,
31,Kyle Jason,,,
71,Joe Del Campo,,,
23,Cydney Gillon,,,
51,Tai Trang,,,
29,Aubry Bracco,,,
24,Michele Fitzgerald,,,
Rachel Ako,Survivor: Millennials vs. Gen X,,,
31,Mari Takahashi,,,
52,Paul Wachter,,,
42,Lucy Huang,,,
39,"Ciandre ""CeCe"" Taylor",,,
23,"Jessica ""Figgy"" Figueroa",,,
25,Michaela Bradshaw,,,
28,Michelle Schubert,,,
24,Taylor Lee Stocker,,,
38,Chris Hammons,,,
37,Jessica Lewis,,,
28,Zeke Smith,,,
18,Will Wahl,,,
45,Sunday Burquest,,,
27,"Justin ""Jay"" Starrett",,,
42,Bret LaBelle,,,
42,David Wright,,,
24,Hannah Shapiro,,,
33,Ken McNickle,,,
25,Adam Klein,,,
Ciera Eastin,Survivor: Game Changers,,,
42,Tony Vlachos,,,
28,Caleb Reynolds,,,
29,Malcolm Freberg,,,
31,"James ""J.T."" Thomas, Jr.",,,
42,Sandra Diaz-Twine,,,
50,Jeff Varner,,,
26,Hali Ford,,,
34,Ozzy Lusth,,,
51,Debbie Wanner,,,
28,Zeke Smith,,,
29,Sierra Dawn Thomas,,,
27,Andrea Boehlke,,,
25,Michaela Bradshaw,,,
45,Cirie Fields,,,
30,Aubry Bracco,,,
52,Tai Trang,,,
54,"Troy ""Troyzan"" Robertson",,,
47,Brad Culpepper,,,
32,Sarah Lacina,,,
Katrina Radke,Survivor: Heroes vs. Healers vs. Hustlers,,,
25,Simone Nguyen,,,
24,Patrick Bolton,,,
31,Alan Ball,,,
27,Roark Luskin,,,
24,"Alexandrea ""Ali"" Elliott",,,
29,Jessica Johnston,,,
27,"Desiree ""Desi"" Williams",,,
24,Cole Medders,,,
28,"John Paul ""JP"" Hilsabeck",,,
34,Joe Mena,,,
35,Lauren Rimmer,,,
26,Ashley Nolan,,,
43,Mike Zahalsky,,,
24,Devon Pinto,,,
23,Ryan Ulrich,,,
46,Chrissy Hofbeck,,,
34,Ben Driebergen,,,
Stephanie Gonzalez,Survivor: Ghost Island,,,
22,Jacob Derwin,,,
29,Morgan Ricke,,,
41,Brendan Shapiro,,,
34,Stephanie Johnson,,,
24,James Lim,,,
26,Bradley Kleihege,,,
27,Chris Noble,,,
24,Libby Vincek,,,
21,Desiree Afuye,,,
23,Jenna Bowman,,,
18,Michael Yerger,,,
24,Chelsea Townsend,,,
31,Kellyn Bechtold,,,
22,Sebastian Noel,,,
26,Donathan Hurley,,,
42,Angela Perkins,,,
29,Laurel Johnson,,,
38,Domenick Abbate,,,
33,Wendell Holland,,,
Pat Cusack,Survivor: David vs. Goliath,,,
19,Jessica Peet,,,
40,Jeremy Crawford,,,
28,Bi Nguyen,,,
25,Natalia Azoqa,,,
57,Natalie Cole,,,
36,Lyrsa Torres,,,
31,Elizabeth Olson,,,
38,John Hennigan,,,
27,Dan Rengering,,,
24,Alec Merlino,,,
41,Carl Boudreaux,,,
25,Gabby Pascuzzi,,,
32,Christian Hubicki,,,
30,Davie Rickenbacker,,,
28,Alison Raybould,,,
30,Kara Kay,,,
28,Angelina Keeley,,,
47,Mike White,,,
27,Nick Wilson,,,
Reem Daly,Survivor: Edge of Extinction,,,
19,Keith Sowell,,,
32,Aubry Bracco,,,
25,Wendy Diaz,,,
29,Joe Anglim,,,
35,Eric Hafemann,,,
25,Julia Carter,,,
44,David Wright,,,
31,Kelley Wentworth,,,
38,"Dan ""Wardog"" DaSilva",,,
46,Ron Clark,,,
32,Aurora McCreary,,,
23,Victoria Baamonde,,,
21,Lauren O'Connell,,,
33,Rick Devens,,,
46,Julie Rosenberg,,,
23,Gavin Whitson,,,
25,Chris Underwood,,,
Ronnie Bardah,Survivor: Island of the Idols,,,
27,Molly Byman,,,
27,Vince Moua,,,
26,Chelsea Walker,,,
60,Tom Laidlaw,,,
32,Jason Linden,,,
23,Jack Nichting,,,
29,Kellee Kim,,,
33,Jamal Shipman,,,
36,Aaron Meredith,,,
24,"Tra'mese ""Missy"" Byrd",,,
26,Elizabeth Beisel,,,
37,Karishma Patel,,,
41,Elaine Stott,,,
48,Dan Spilo,,,
59,Janet Carbin,,,
28,Lauren Beck,,,
36,Noura Salman,,,
28,Dean Kowalski,,,
26,Tommy Sheehan,,,
Amber Mariano,Survivor: Winners at War,,,
43,Danni Boatwright,,,
45,Ethan Zohn,,,
43,Rob Mariano,,,
36,Parvati Shallow,,,
44,Sandra Diaz-Twine,,,
44,Yul Kwon,,,
35,Wendell Holland,,,
28,Adam Klein,,,
39,Tyson Apostol,,,
29,Sophie Clarke,,,
36,Kim Spradlin-Wolfe,,,
41,Jeremy Collins,,,
28,Nick Wilson,,,
48,Denise Stapley,,,
36,Ben Driebergen,,,
35,Sarah Lacina,,,
29,Michele Fitzgerald,,,
33,Natalie Anderson,,,
45,Tony Vlachos,,,
Eric Abraham,41,41.0,,
24,Sara Wilson,,,
35,David Voce,,,
50,Brad Reese,,,
20,"Jairus ""JD"" Robinson",,,
46,Genie Chen,,,
26,Sydney Segal,,,
47,Tiffany Seely,,,
37,Naseer Muttalif,,,
28,"Evelyn ""Evvie"" Jagoda",,,
34,"Shantel ""Shan"" Smith",,,
20,Liana Wallace,,,
33,Danny McCray,,,
31,Ricard Foyé,,,
52,Heather Aldret,,,
